Date,Open,High,Low,Close,Adj Close,Volume
2019-05-01,194.779999,196.179993,177.160004,177.470001,177.470001,286821500
2019-06-01,175.000000,198.880005,160.839996,193.000000,193.000000,426410300
2019-07-01,195.210007,208.660004,191.929993,194.229996,194.229996,351062500
2019-08-01,194.169998,198.470001,176.660004,185.669998,185.669998,294694900
2019-09-01,184.000000,193.100006,175.660004,178.080002,178.080002,264538500
2019-10-01,179.149994,198.089996,173.089996,191.649994,191.649994,326207200
2019-11-01,192.850006,203.800003,188.539993,201.639999,201.639999,258303900
2019-12-01,202.130005,208.929993,193.169998,205.250000,205.250000,276257100
2020-01-01,206.750000,224.199997,201.059998,201.910004,201.910004,347314600
2020-02-01,203.440002,218.770004,181.820007,192.470001,192.470001,317576800
2020-03-01,194.029999,197.240005,137.100006,166.800003,166.800003,649467700
2020-04-01,161.619995,177.080002,150.830002,175.190002,175.190002,171441200
