Date,Open,High,Low,Close,Adj Close,Volume
2019-05-01,130.529999,130.649994,123.040001,123.680000,122.065010,547218800
2019-06-01,123.849998,138.399994,119.010002,133.960007,132.700180,508316500
2019-07-01,136.630005,141.679993,134.669998,136.270004,134.988449,484547500
2019-08-01,137.000000,140.940002,130.779999,137.860001,136.563492,584474300
2019-09-01,136.610001,142.369995,134.509995,139.029999,138.181091,472544800
2019-10-01,139.660004,145.669998,133.220001,143.369995,142.494583,549523400
2019-11-01,144.259995,152.500000,142.970001,151.380005,150.455688,392371800
2019-12-01,151.809998,159.550003,146.649994,157.699997,157.270432,450303300
2020-01-01,158.779999,174.050003,156.509995,170.229996,169.766296,558530000
2020-02-01,170.429993,190.699997,152.000000,162.009995,161.568695,887625300
2020-03-01,165.309998,175.000000,132.520004,157.710007,157.710007,1612695500
2020-04-01,153.000000,170.000000,150.360001,165.139999,165.139999,378474600
